 Name               Version   License                                                          
 Jinja2             3.1.6     BSD License                                                      
 Mako               1.3.10    MIT License                                                      
 MarkupSafe         3.0.3     BSD-3-Clause                                                     
 PyMuPDF            1.27.2.2  Dual Licensed - GNU AFFERO GPL 3.0 or Artifex Commercial License 
 PyYAML             6.0.3     MIT License                                                      
 Pygments           2.19.2    BSD License                                                      
 SQLAlchemy         2.0.46    MIT                                                              
 alembic            1.18.4    MIT                                                              
 annotated-doc      0.0.4     MIT                                                              
 annotated-types    0.7.0     MIT License                                                      
 anyio              4.12.1    MIT                                                              
 bcrypt             5.0.0     Apache Software License                                          
 certifi            2026.1.4  Mozilla Public License 2.0 (MPL 2.0)                             
 cffi               2.0.0     MIT                                                              
 click              8.3.1     BSD-3-Clause                                                     
 cryptography       46.0.5    Apache-2.0 OR BSD-3-Clause                                       
 distro             1.9.0     Apache Software License                                          
 dnspython          2.8.0     ISC License (ISCL)                                               
 ecdsa              0.19.1    MIT                                                              
 email-validator    2.3.0     The Unlicense (Unlicense)                                        
 fastapi            0.128.8   MIT                                                              
 filelock           3.20.3    Unlicense                                                        
 fsspec             2026.2.0  BSD-3-Clause                                                     
 h11                0.16.0    MIT License                                                      
 httpcore           1.0.9     BSD-3-Clause                                                     
 httptools          0.7.1     MIT                                                              
 httpx              0.28.1    BSD License                                                      
 idna               3.11      BSD-3-Clause                                                     
 iniconfig          2.3.0     MIT                                                              
 jiter              0.13.0    MIT License                                                      
 mpmath             1.3.0     BSD License                                                      
 networkx           3.6.1     BSD-3-Clause                                                     
 numpy              2.4.2     BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0               
 openai             2.25.0    Apache Software License                                          
 packaging          26.0      Apache-2.0 OR BSD-2-Clause                                       
 passlib            1.7.4     BSD                                                              
 pillow             12.1.0    MIT-CMU                                                          
 pluggy             1.6.0     MIT License                                                      
 psycopg            3.3.2     LGPL-3.0-only                                                    
 psycopg-binary     3.3.2     LGPL-3.0-only                                                    
 pyasn1             0.6.2     BSD-2-Clause                                                     
 pycparser          3.0       BSD-3-Clause                                                     
 pydantic           2.12.5    MIT                                                              
 pydantic-settings  2.12.0    MIT                                                              
 pydantic_core      2.41.5    MIT                                                              
 pytest             9.0.2     MIT                                                              
 python-dotenv      1.2.1     BSD-3-Clause                                                     
 python-jose        3.5.0     MIT License                                                      
 python-multipart   0.0.22    Apache-2.0                                                       
 rsa                4.9.1     Apache Software License                                          
 six                1.17.0    MIT License                                                      
 sniffio            1.3.1     Apache Software License; MIT License                             
 starlette          0.52.1    BSD-3-Clause                                                     
 sympy              1.14.0    BSD License                                                      
 torch              2.10.0    BSD-3-Clause                                                     
 torchvision        0.25.0    BSD                                                              
 tqdm               4.67.3    MPL-2.0 AND MIT                                                  
 typing-inspection  0.4.2     MIT                                                              
 typing_extensions  4.15.0    PSF-2.0                                                          
 uvicorn            0.40.0    BSD-3-Clause                                                     
 uvloop             0.22.1    Apache Software License; MIT License                             
 watchfiles         1.1.1     MIT License                                                      
 websockets         16.0      BSD-3-Clause                                                     
